company_name,job_title,base,job_desc
深圳深度商智科技,AI智能体工程师,深圳,"AI智能体工程师招聘岗位说明
 
岗位职责
 
1.?智能体设计与开发：负责AI智能体的整体架构设计与核心算法开发，根据不同的业务场景和需求，运用机器学习、强化学习等技术，打造具备自主决策、任务执行能力的智能体。例如，开发用于客户服务场景的智能聊天体，能理解客户问题并精准回应；或是构建智能物流调度体，优化物流配送路径。
2.?模型训练与优化：收集和整理相关数据，运用大数据处理技术和工具进行数据预处理，使用深度学习框架（如TensorFlow、PyTorch）对智能体模型进行训练。通过不断调整模型参数、改进算法，提升智能体的性能表现，包括准确性、响应速度、泛化能力等。例如，降低智能体在语言理解任务中的错误率，提升其在复杂环境下的决策成功率。
3.?与多模态融合：探索并实现AI智能体与图像、语音、文本等多模态数据的融合应用，使智能体能够理解和处理多种形式的信息，增强其交互能力和功能多样性。比如，开发能同时识别语音指令和手势动作的智能体，为用户提供更便捷的交互体验。
4.?智能体评估与测试：建立科学合理的评估指标体系，对开发完成的AI智能体进行全面测试和评估，及时发现并解决存在的问题。通过模拟真实场景和用户行为，对智能体的稳定性、可靠性、安全性等进行验证，确保其满足实际业务需求和质量标准。
5.?技术协作与创新：与公司内的算法团队、数据团队、产品团队紧密合作，共同推进AI智能体项目的进展。积极关注行业最新技术动态和研究成果，引入创新性的技术和方法，不断优化和升级智能体的功能与性能，保持公司在AI智能体领域的技术领先地位。
 
任职要求
 
1.?教育背景：计算机科学、人工智能、数学、统计学等相关专业，硕士及以上学历优先。
2.?工作经验：具有2-5年AI智能体开发或相关领域工作经验，有实际项目经验者优先。
3.?技能要求：
- 熟练掌握强化学习、深度强化学习算法，如DQN、A3C、PPO等，并在实际项目中应用过。
- 熟练掌握至少一种深度学习框架，如TensorFlow、PyTorch等。
- 具备扎实的Python编程基础，熟悉常用的数据结构和算法。
- 熟悉大数据处理技术和工具，如Hadoop、Spark等，能够进行大规模数据的处理和分析。
- 了解多模态数据处理技术，如图像识别、语音识别、自然语言处理等，有相关实践经验者优先。
- 掌握模型评估和调优方法，能够根据评估结果对模型进行有效改进。
- 熟练掌握AI agent应用和开发的主流平台和技术，如LangChain、AutoGPT等，能够基于这些平台进行智能体的快速开发与部署，理解其架构原理并能根据项目需求进行定制化拓展。尤其要熟练掌握扣子技术平台，能运用扣子集成的丰富插件工具（超60款，含资讯阅读、旅游出行等类型）拓展智能体能力，比如使用新闻插件打造智能新闻播报智能体；可通过扣子的提示词设定智能体身份与回复逻辑，像创建产品问答助手；利用扣子记忆库功能（含知识库、数据库）保留对话细节、补充知识，管理结构化与非结构化数据 ，实现智能体与用户更个性化、针对性的互动。
4.?能力素质：具备较强的问题解决能力和创新思维，能够独立解决开发过程中遇到的技术难题；拥有良好的团队协作精神和沟通能力，能够与不同专业背景的人员进行有效的沟通和合作；对新技术有强烈的学习兴趣和快速学习能力，能够紧跟AI技术发展趋势。"
吉阳智能,深度学习工程师,深圳,"岗位职责：
? 负责深度学习模型的设计、开发、训练和优化，以解决图像处理、计算机视觉等领域的实际问题。
? 探索和应用最新的深度学习技术，提升模型性能和效率。
? 参与数据清洗、特征工程、模型评估等环节，保证模型的准确性和可靠性。
? 参与项目的需求分析、方案设计和技术选型。
? 撰写技术文档，总结研究成果。 
任职要求：
? 计算机科学、数学、统计学等相关专业本科及以上学历。
? 扎实的数学基础，熟悉线性代数、概率论、统计学等知识。
? 熟练掌握Python编程语言，熟悉PyTorch、TensorFlow等深度学习框架。
? 具备较强的算法设计和实现能力，熟悉常见的深度学习模型（如CNN、RNN、YOLO等），并能根据实际问题选择合适的模型。
? 具有丰富的图像处理经验，熟悉图像预处理、特征提取、目标检测、图像分割等技术。
? 具有良好的沟通能力和团队协作精神。
? 有以下经验者优先： 
o 在图像分类、目标检测、图像分割等领域有实际项目经验。
o 在预测性维护上有实际的项目经验。
o 发表过相关领域的论文或参加过相关竞赛。
o 对开源社区有贡献。
能力要求：
? 深入的应用理解： 能够将深度学习技术与实际业务场景紧密结合，解决实际问题。
? 图像方面的应用场景： 熟悉图像处理、计算机视觉领域常见的任务和挑战，能够针对不同场景设计和优化模型。
? 数据上的使用场景： 能够对大规模图像数据进行清洗、预处理、特征工程，并选择合适的模型进行训练和评估。
? 快速学习能力： 深度学习领域发展迅速，能够快速掌握新知识和新技术。
? 问题解决能力： 能够独立分析问题，找到解决方案，并能将解决方案落地。
? 创新能力： 能够提出新的想法和解决方案，推动技术创新。
加分项：
? 在工厂预测性维护领域上有实际的项目经验。
? 熟悉模型部署和服务化"
韶音科技,软件开发工程师（测试装备开发）,深圳,"岗位职责：
1.主导工业视觉检测系统开发，包括AI模型训练、传统算法优化、多模态数据融合等全流程落地；
2.负责机器视觉在工业场景下的应用开发，包括缺陷检测、目标定位、曲面检测等；
3.负责机器视觉与AI融合的算法解决方案的开发，结合传统图像处理与深度学习技术，实现技术创新；
4.负责技术方案设计与技术文档编写；
5.积极探索领域前沿技术，针对业务痛点进行技术创新与突破；

岗位要求：
1. 本科及以上学历，3-5年工业级计算机视觉项目实战经验，至少主导过2个完整落地项目。
2. 具备扎实的计算机视觉算法基础，熟悉经典CV算法的原理与实现。
3. 熟练掌握主流计算机视觉库与深度学习框架的应用，具备深度学习模型的设计、训练与优化能力。
4. 具备模型部署与优化经验，熟悉主流推理加速框架者优先。
5. 极强的技术自驱力，能独立完成技术调研到落地的完整闭环。
6. 良好的沟通和团队协作能力、积极主动、自律自驱。"
中科飞测,深度学习/算法助理工程师,深圳,"PS：可以接受优秀对应相关专业应届生往届生，从算法助理工程师做起（先做基础的算法和图像处理工作），往深度学习工程师/算法工程师培养。该岗位需要去半导体fab里驻场，国内出差较多。
核心职责
一. 深度学习模型开发支持
1协助资深工程师完成深度学习模型的设计、训练和调优，参与计算机视觉（CV）项目开发，重点支持半导体工业质检场景。
2使用PyTorch/TensorFlow等框架复现经典网络（如CNN、ResNet、YOLO等），并完成基线实验和性能评估。
3参与模型优化工作，包括但不限于模型剪枝、量化压缩和迁移学习，提升模型在边缘设备的推理效率。
4跟踪深度学习领域的最新论文和技术动态，协助完成技术可行性验证实验。
二. 工业数据全流程处理
1在客户工厂现场执行工业图像采集，根据缺陷分类标准手动标注/修正图像标签（熟练使用客户提供Windows系统标注工具）。
2使用office工具进行图像元数据管理（分类统计缺陷类型、发生频率、图像版本迭代记录）。
3制定数据质量日报（Word文档），记录标注准确率、数据异常类型及改进建议。
4编写Python脚本实现数据预处理自动化（如图像格式转换、数据增强等）。
三. 模型部署与客户支持
1配合工程师在产线部署深度学习模型，通过SSH远程执行测试脚本并记录推理结果。
2使用Wireshark等工具监控边缘设备数据传输稳定性，定位网络丢包导致的模型失效问题。
3现场收集客户操作人员反馈，整理模型误检典型案例（截图+工况描述）,非技术语言向客户管理层汇报模型运行KPI（检出率/过检率）。
任职要求
硬性门槛
学历与专业：硕士及以上学历，计算机、数学、自动化、电子信息等相关专业。
数学基础：熟悉线性代数、概率论与数理统计，了解常用机器学习算法（如SVM、决策树、聚类等）。
深度学习基础：
熟悉CNN、RNN、GAN等经典网络结构，能独立实现简单模型。
掌握至少一种深度学习框架（如PyTorch、TensorFlow），具备模型训练和调优经验。
数据处理能力：
熟练使用Python进行数据清洗和预处理（NumPy、Pandas）。
工程能力：
了解Linux基础命令，能使用Git进行版本控制。
具备模型剪枝、量化或迁移学习的实践经验者优先。
了解边缘计算部署（如TensorRT、OpenVINO）。"
四川宜云智能网联…,深度学习c++后处理,宜宾,"岗位职责:
1.负责自动驾驶深度学习模型的C++后处理工作
2.参与汽车自动驾驶的技术研发和应用
3.与团队合作，确保项目按时高质量完成

任职要求:
1.具备扎实的C++编程能力，熟悉深度学习后处理技术
2.能够独立解决技术问题，具有良好的问题分析和解决能力
3.具有团队合作精神，能够与团队成员有效沟通协作
4.硕士及以上学历"
追觅科技,深度学习C++部署工程师,苏州,"1. 负责深度学习模型在端侧设备上的部署与优化，特别是在NPU（神经处理单元）上的部署优化。
2.从事CV模型在不同平台上的工程化设计、实现与加速、系统集成与工程化落地；
3.分析并优化模型的推理速度和精度
4. 与跨职能团队合作，理解系统需求，提供技术支持和解决方案。

任职要求：
1、擅长c/c++编程，熟悉python，熟悉opencv
2、熟练掌握Pytorch/MNN/NCNN等至少一种深度学习框架，对深度学习模型有一定了解；
3、有实际的深度学习模型部署、优化及网络结构优化、内存优化经验加分；
4、有实际CV深度学习项目开发经历"
华为,机器学习,北京,"岗位职责
1、负责AI领域的软件工程化和产品开发;
2、负责AI算法及系统的设计和实现，包括但不限于：神经网络与机器学习、计算机视觉、无人驾驶、路径规划、智能决策、推荐系统、大模型、生成式AI
等;
3、负责产品的集成和调测，以及各类工具链的开发;
4、负责对外洞察Al领域最新趋势，包括但不限于：大模型、生成式AlI、Al for coding等。
岗位要求
1、计算机或人工智能相关专业，具备一个及以上大型实际软件项目经验，独立承担过关键子模块的开发工作;
2、熟练运用至少一门编程语言（C++ /ava /Python/Rust等）；
3、熟悉Tensorflow/scikit-learn/xgboost/Caffe/MindSpore/pytorch等主流深度学习框架的使用，具备Al算法开发及应用经验者优先;
4、深入理解计算机系统架构与操作系统，熟练掌握异构计算平台原理和典型硬件加速器的使用方法，熟练运用并发编程和底层调试，熟悉Linux/ROS;
5、熟悉深度神经网络、计算机视觉、机器人导航定位、运动规划、机器学习算法和知识图谱等的至少一种，能够针对算法特点与芯片硬件特点设计最佳算法
实现方式并优化部署或者有数据分析、挖掘、建模等方面的背景；
6、了解编程规范/惯用法/设计模式，掌握OOD/业界常用框架优先。"
菜鸟,菜鸟-后端研发工程师-国际寄件产品技术部,杭州,"职务描述
主要负责并参与国际寄件业务AI Agent落地，涵盖全业务流程的智能导购Agent、智能合包Agent、物流托管Agent等多个Agent产品研发，以及Agent基础能力构建、架构性能提升、系统稳定性建设及线上问题应急响应，基于用户历史反馈数据制定优化方案并推动实施；
职位要求
1. 熟悉java语言，以及常见开发框架使用及原理；
2. 计算、存储、网络等计算机体系基本功底扎实；
3. 对数据结构、算法设计、系统架构设计等有较为深刻的理解；
4. 优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情；
5. 有AI应用开发和SpringAI、LangChain等框架开发经验的优先。"
高德,高德-大模型应用开发工程师-Agent方向,北京,"职位描述
团队介绍：
交通智能团队正在寻找AI造梦师！加入极客天团，用代码重塑未来出行
团队故事：
我们是高德地图的的硬核极客天团，过去四年连续解锁交通科技树：
? 2021年 全球首个分钟级交通事件检测引擎（让堵车预警快过刷朋友圈）
? 2022年 红绿灯倒计时黑科技（拯救千万路怒症的神级操作）
? 2023年 V2X车车对话系统（让汽车学会""社牛""沟通）
? 2024年 AI领航红绿灯（比驾校教练更懂路的老司机）
现在，我们正在构建智能交通宇宙，等你来编写核心算法剧本！

岗位职责：
1.负责开发模块化agent框架，整合交通动态数据（轨迹数据、UGC图文、行业信息等），实现多轮交互、实时决策与多智能体协作，为用户智慧出行提供决策支持；
2.构建和优化分布式推理引擎，确保高并发下的稳定性和低延迟；
3.负责开发对话记忆管理系统，实现对话历史的智能存储与上下文关联分析，提升多轮交互的语义连贯性。"
阿里巴巴淘天集团,算法工程师-计算机视觉（T-Star Lab 26届秋招）,北京/杭州,"职位描述
T-Star计划是阿里巴巴淘天集团顶尖人才招聘和培养项目，继承“阿里星〞的使命与愿景，面向全球招募顶尖技术人才。首次开设实习生专项招聘，面向2025年10月后毕业的校优秀技术同学。期待你们在淘天，通过极具挑战的前沿课题与亿级规模的海量数据、应用场景，探索和实践最前沿的Al技术，在有价值的业务场景落地技术成果。


如果你，期望参与淘天集团海量图像/视频数据的理解、分发、生成等方面的算法研究、系统研发和产品开发；
如果你，期望参与图像/视频相关算法的前沿技术探索，包括机器学习及深度学习在内容理解和AIGC中的应用，以及计算机视觉与自然语言处理、计算机图形学等相关领域的联合创新；
如果你，期望和聪明、皮实、乐观、自省、追求卓越和自我驱动的优秀战友一起共同开创视觉技术的新格局；那还在等待什么，赶紧加入我们吧！
职位要求
【必备项】
1、硕士及以上学历，计算机、人工智能、电子与通信等相关专业；
2、熟悉计算机视觉、机器学习、图像/视频分析与处理、多模态内容理解、AIGC等相关领域技术和应用；
3、具备极佳的工程实现能力，熟练掌握C/C++、Java、Python等至少一门语言；
4、学习能力强，对新事物有好奇心，对所在领域有热情，善于独立思考并反思总结；
5、良好的沟通能力和团队协同能力，善于合作，乐于分享。

【加分项】
1、在校园内或互联网公司有相关实习或项目经历；
2、在ICCV、CVPR等国际顶级会议、期刊上发表论文，或在相关学术会议组织的权威比赛中获奖。 

面向人群：
1、毕业时间在 2025年11月-2026年10月的海内外高校硕博毕业生。
*中国大陆（内地）以毕业证为准，中国港澳台及海外地区以学位证为准
2、包括但不限于计算机、软件工程、人工智能、网络安全、信息与通信工程、电子科学、自动化、量子计算、数学以及其他前沿交叉学科等相关专业。"
TikTok,前端开发工程师-TikTok泛架构,深圳,"职位描述
团队介绍：TikTok是一个覆盖150个国家和地区的国际短视频平台，我们希望通过TikTok发现真实、有趣的瞬间，让生活更美好。TikTok 在全球各地设有办公室，全球总部位于洛杉矶和新加坡，办公地点还包括纽约、伦敦、都柏林、巴黎、柏林、迪拜、雅加达、首尔和东京等多个城市。

TikTok泛架构团队处于业务和基础架构之间，我们的目标是拥抱AI，构建最先进的业务架构基建，建立公众信任和合规，关注资源管理和成本优化，用户体验和稳定性，提高工程质量和研发效率。在这里你既能感受到技术对上层业务的赋能，又可以提高在架构层面技术深度的理解，期待你的加入！

1、参与TikTok业务产品研发，深度参与产品需求讨论，C端和B端的功能构建等；
2、参与设计基于前端和全栈的解决方案，核心代码开发、组件抽象以及系统调优等；
3、参与系统工程效率和性能优化，提升研发效率以及用户体验；
4、调研和学习前端新技术，进行技术分享并在重要项目内落地，参与部门前端和全栈技术建设。
职位要求
1、2026届获得本科及以上学历，计算机、软件工程等相关专业优先；
2、热爱计算机科学，对数据分析、前端架构、渲染和性能等技术有热情；
3、精通JavaScript、HTML、CSS，熟悉DOM、HTTP协议等前端领域知识，至少掌握一种主流前端框架（如React/Vue等）；
4、有优秀的逻辑分析能力，能够对业务逻辑进行合理的抽象和拆分；
5、有强烈的求知欲，优秀的学习能力和沟通能力。"
TikTok,广告策略算法工程师-巨量星图,上海,"职位描述
团队介绍：巨量星图是达人智能营销平台，内容营销的起点，通过海量优质的达人供给，让商单创意尽情发挥。助力电商、本地、游戏等行业品牌商家在抖音做好「种草」与「转化」，并通过丰富的平台能力与工具扶持达人持续变现、健康成长。

1、熟悉推荐中召回、粗排、精排、混排各个阶段模型和策略的改进，优化客户体验；
2、利用业界最先进的手段，持续优化深度转化模型，极致提升LTV、付费率、留存率的预估准确度；
3、熟悉广告中定向、出价、机制等多个阶段的模型和策略的改进，优化客户体验的同时，提升商业变现效率。
职位要求
1、2026届获得本科及以上学历，计算机相关专业；
2、良好的数据结构、数理统计和概率论等基础；优秀的编码能力，熟练掌握Python/C++/Go更佳；
3、扎实的机器学习/深度学习理论基础，熟练掌握至少一种主流深度学习编程框架；
4、较好的产品意识，愿意将产品效果作为工作最重要的驱动因素；
5、有Deep Model在广告和推荐业务经验者优先，有出价产品和算法经验者优先。"
